127.0.0.1, 2017-07-14 10:32:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2017-07-14 10:32:30, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.091789
127.0.0.1, 2017-07-14 10:32:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000275
127.0.0.1, 2017-07-14 10:32:51, POST, /admin/default/create_file, HTTP/1.1, 303, 0.033876
127.0.0.1, 2017-07-14 10:32:51, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.091445
127.0.0.1, 2017-07-14 10:32:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000213
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.037277
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001037
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000775
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000617
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000895
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001138
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000660
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001568
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.004795
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001228
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000602
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000731
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001885
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000619
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001248
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000559
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001213
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000533
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.008565
127.0.0.1, 2017-07-14 10:32:57, GET, /admin/static/_2.15.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000976
